"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "TypeScript JSX", "JavaScript", "HTML", "XML", "YAML", "Batch", "PostCSS", "Java Properties", "Java", "MS SQL", "comment", "blank", "total"
"c:\Fullstack\practical projects\UniSystem\Backend\.idea\Backend.iml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Fullstack\practical projects\UniSystem\Backend\.idea\copilot.data.migration.ask2agent.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Fullstack\practical projects\UniSystem\Backend\.idea\misc.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Fullstack\practical projects\UniSystem\Backend\.idea\modules.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Fullstack\practical projects\UniSystem\Backend\.idea\vcs.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 6
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 4
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\compose.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 0, 11
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\mvnw.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 0, 139, 0, 0, 0, 0, 26, 25, 190
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\pom.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 181, 0, 0, 0, 0, 0, 0, 0, 8, 189
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\BusinessLogic\ImpServiceLayer\AnnouncementServiceImp.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 64, 0, 0, 21, 85
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\BusinessLogic\ImpServiceLayer\AuditLogServiceImp.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 81, 0, 0, 15, 96
"c:\Fullstack\practical projects\UniSystem\Backend\Uni\src\main\java\UnitSystem\demo\BusinessLogic\ImpServiceLayer\AuthServiceImp.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 113, 0, 0, 23, 136
